lat,lon,validdate,t_2m:C,precip_1h:mm
1.5,-78.5,2024-10-05 00:00:00+00:00,24.0,0.18
1.5,-78.5,2024-10-05 12:00:00+00:00,23.0,0.0
1.5,-78.5,2024-10-06 00:00:00+00:00,24.5,0.24
1.5,-78.5,2024-10-06 12:00:00+00:00,22.6,0.2
1.5,-78.5,2024-10-07 00:00:00+00:00,24.4,0.28
1.5,-78.5,2024-10-07 12:00:00+00:00,22.5,0.18
1.5,-78.5,2024-10-08 00:00:00+00:00,24.5,0.0
1.5,-78.5,2024-10-08 12:00:00+00:00,21.6,0.11
1.5,-78.5,2024-10-09 00:00:00+00:00,23.5,0.0
1.5,-78.5,2024-10-09 12:00:00+00:00,22.4,0.0
1.5,-78.5,2024-10-10 00:00:00+00:00,24.4,0.0
1.5,-78.5,2024-10-10 12:00:00+00:00,22.3,2.67
1.5,-78.5,2024-10-11 00:00:00+00:00,24.2,0.0
1.5,-78.5,2024-10-11 12:00:00+00:00,22.7,0.78
1.5,-78.5,2024-10-12 00:00:00+00:00,24.0,1.11
1.5,-78.5,2024-10-12 12:00:00+00:00,22.7,1.18
1.5,-78.5,2024-10-13 00:00:00+00:00,24.7,0.0
1.5,-78.5,2024-10-13 12:00:00+00:00,23.1,0.19
1.5,-78.5,2024-10-14 00:00:00+00:00,24.6,0.44
1.5,-78.5,2024-10-14 12:00:00+00:00,23.1,0.2
1.5,-78.5,2024-10-15 00:00:00+00:00,24.0,0.77
1.5,-78.0,2024-10-05 00:00:00+00:00,22.1,0.85
1.5,-78.0,2024-10-05 12:00:00+00:00,21.5,0.0
1.5,-78.0,2024-10-06 00:00:00+00:00,22.0,1.12
1.5,-78.0,2024-10-06 12:00:00+00:00,21.5,0.55
1.5,-78.0,2024-10-07 00:00:00+00:00,22.0,0.8
1.5,-78.0,2024-10-07 12:00:00+00:00,21.8,0.0
1.5,-78.0,2024-10-08 00:00:00+00:00,22.2,2.46
1.5,-78.0,2024-10-08 12:00:00+00:00,20.5,2.06
1.5,-78.0,2024-10-09 00:00:00+00:00,22.5,0.26
1.5,-78.0,2024-10-09 12:00:00+00:00,21.1,0.16
1.5,-78.0,2024-10-10 00:00:00+00:00,22.4,1.02
1.5,-78.0,2024-10-10 12:00:00+00:00,20.8,1.35
1.5,-78.0,2024-10-11 00:00:00+00:00,22.2,2.14
1.5,-78.0,2024-10-11 12:00:00+00:00,21.7,0.53
1.5,-78.0,2024-10-12 00:00:00+00:00,22.2,2.85
1.5,-78.0,2024-10-12 12:00:00+00:00,20.9,0.0
1.5,-78.0,2024-10-13 00:00:00+00:00,22.6,0.3
1.5,-78.0,2024-10-13 12:00:00+00:00,21.7,0.19
1.5,-78.0,2024-10-14 00:00:00+00:00,22.9,0.5
1.5,-78.0,2024-10-14 12:00:00+00:00,21.8,0.0
1.5,-78.0,2024-10-15 00:00:00+00:00,22.5,1.06
1.5,-77.5,2024-10-05 00:00:00+00:00,21.1,1.47
1.5,-77.5,2024-10-05 12:00:00+00:00,20.3,0.0
1.5,-77.5,2024-10-06 00:00:00+00:00,21.9,1.93
1.5,-77.5,2024-10-06 12:00:00+00:00,21.0,0.0
1.5,-77.5,2024-10-07 00:00:00+00:00,21.4,5.51
1.5,-77.5,2024-10-07 12:00:00+00:00,20.1,0.0
1.5,-77.5,2024-10-08 00:00:00+00:00,21.2,5.07
1.5,-77.5,2024-10-08 12:00:00+00:00,20.4,0.93
